;Question;Answer
10;Are there any specific documents I need to bring to the insurance desk?;For the insurance desk, you should bring your medical insurance card and policy information, and if applicable, a prior approval or preauthorization form from your insurance company.
11;I have insurance. It's not cashless, but refundable within 15 days of the surgery. What to do?;In this case, you will need to pay the entire surgery cost upfront. After the surgery, a set of documents need to be collected from the hospital for reimbursement. Please contact your insurance company to know about your eligibility for cataract surgery and the ?? team at the hospital for the necessary documents.
12;Can you provide more information about pre-operative lab tests for cataract surgery?;Preoperative tests for cataract surgery typically include a complete eye exam, involving vision tests, intraocular pressure screening, detailed slit lamp examination, and retina evaluation. Once surgery is advised, additional investigations like Biometry, Keratometry, and Specular Microscopy help determine your IOL power and corneal shape. Additional tests may be recommended based on any other findings. A general health evaluation, including a blood pressure check, sugar, and recording any known drug allergies, is also crucial. Laboratory tests generally assess the overall health of the patient and identify any potential risks or complications for the surgery. Special tests like ECG, CXR, FBC, clotting studies, urea, and electrolytes are required only if indicated by the patient’s medical history or findings from the physical examination. Note that any specific instructions regarding these tests, such as whether you need to fast, will be provided by your eye doctor. It's important to follow your eye doctor's instructions and any specific directions regarding these tests for a smooth procedure.
13;For pre-operative lab tests do we need to come with an empty stomach?;There is no specific requirement about fasting for pre-operative lab tests for cataract surgery, or for routine checks like blood pressure and blood sugar. However, it's always best to follow the instructions given by your eye doctor or the lab performing the tests. If you have not received any specific instructions, it's a good idea to reach out to your eye doctor and confirm.
14;How much does the surgery cost?;The cost of cataract surgery can vary depending on several factors, including the type of procedure, the specific hospital or clinic, and the patient's insurance coverage. For insured patients, they may need to pay a co-payment or deductible, while non-insured patients may need to pay the entire surgery cost upfront. Please note that these are only estimations and the final amount payable would be explained after the surgery is completed.
15;What is the average duration of surgery procedures before patient can go back home?;It's not possible to provide an exact duration for your stay at the hospital on the day of your cataract surgery. The actual cataract surgery typically takes around 15 - 20 minutes. You will be asked to report in the morning, and the timing of your surgery will depend on the surgery list for the day. However, you would be wheeled into the preoperative area much earlier and also could be retained in the recovery area for some more time. If any combined procedure is needed or on the surgical table the eye doctor deems additional steps needed, the duration of the surgery would vary. After the surgery, the discharge process is typically completed in ?? hours time. So, you can expect to go back home a few hours after the surgery is completed. However, these times can vary based on individual circumstances, the type of anesthesia used, and hospital procedures. It's always best to follow the specific instructions given by your eye doctor.
16;After surgery for how many hours do we have to stay in hospital?;After the surgery, the discharge process is typically completed in ?? hours time. So, you can expect to go back home in ?? after the surgery is completed. However, these times can vary based on individual circumstances, the type of anesthesia used, and hospital procedures. It's always best to follow the specific instructions given by your eye doctor.
17;The operation has been completed. What is the next procedure?;The next procedure after the operation is a ?? postoperative examination by your eye doctor, which usually takes place 3 to 4 hours after the surgery. During this examination, the eye doctor will look for any complications or early signs of inflammation or infection. After the examination, the eye doctor will provide you with postoperative instructions and prescribe medications, which may include eye drops. It's important to follow these instructions carefully to ensure a smooth recovery.
18;What should I do if the burning sensation from the eye drops persists?;If the burning sensation persists or is severe, stop the medicine and consult your eye doctor immediately. Please remember not to rub your eye and always follow the specific post-operative care instructions given by your healthcare professional.
19;Where can I buy duvet wipes?;You can purchase duvet wipes at the pharmacy at ?? or any nearby pharmacy. However, it's always a good idea to consult with your eye doctor or medical team for specific brand recommendations.
20;What are the operating hours of the hospital?;The appointment desk typically operates from ?? am to ?? pm, except on ?? holidays and Sundays.
21;How can I schedule a consultation?;We are in the process of enabling online scheduling. In the meanwhile please schedule, reschedule, or cancel your appointment by calling ?? on any weekday between ?? AM to ?? PM or writing in to ??. 
22;Can I get the counsellor's number?;If you wish to schedule an appointment please call the desk at ?? on any weekday between ?? AM to ?? PM or write in to ??. Please walk into the hospital if there is any pain, discharge, or decrease in vision. Our Doctors are available 24/7 for any emergency care. For any emergencies, you can contact the hospital landline at ??.
23;Can I email at any time to schedule an appointment or are there specific timings?;You can email at any time to schedule an appointment. However, please note that the working hours are generally from ?? AM to ?? PM, so responses and confirmations will likely be sent during this time frame.
24;How often should we schedule follow-ups with the doctor?;Post-operative checkups are important in understanding the outcome and recovery from surgery. Your first check-up should be scheduled typically ?? after your cataract surgery, followed by another appointment ?? post-surgery. The date for the first review would be mentioned in the ?? discharge summary and would be explained by the inpatient staff at the time of discharge. After these initial consultations, further visits to the ophthalmologist would only be necessary if you experience any issues. However, you should report immediately if there are any signs of inflammation or a drop in vision.
25;Cataract Post surgery follow up date was missed. What to do now?;Your first check-up should have been scheduled one week after your cataract surgery. If you missed this appointment, it's important to reschedule as soon as possible. If you don't reschedule the missed appointment, you may miss out on important post-operative care and monitoring. This could potentially lead to complications or slower recovery. We are in the process of enabling online scheduling. In the meanwhile please reschedule your appointment by calling ?? on any weekday between ?? AM to ?? PM or writing in to ??. 
